STRUCTURE_NUMBER_008,YEAR_BUILT_027,YEAR_RECONSTRUCTED_106,HISTORY_037,SERVICE_ON_042A,ROUTE_PREFIX_005B,LOCATION_009,FED_AGENCY,LAT_016,LONG_017
        1PA0099,2006,0.0,5,1,8,'0.5 MI S OF US 11',Y,40143010,76595900
000000000000001,1963,0.0,5,1,3,'N OF MARYLAND LINE',N,39432979,77181454
000000000000002,1990,0.0,5,1,2,'1.25M N. MARYLAND LINE',N,39440820,77175007
000000000000003,1963,1990.0,5,1,2,'1.25 MI.N. OF MD.LINE',N,39440881,77175080
000000000000004,1990,,5,1,2,'2 MI N OF MARYLAND LINE',N,39443501,77164757
000000000000005,1963,0.0,5,1,2,'2 MI. N. OF MARYLAND LINE',N,39443582,77164802
000000000000007,1963,0.0,5,1,2,'S OF GETTYSBURG',N,39461913,77142300
000000000000008,1990,0.0,5,1,3,'SOUTH OF GETTYSBURG',N,39471187,77125967
000000000000010,1963,0.0,5,1,3,'S OF GETTYSBURG',N,39471297,77130125
000000000000012,1990,,5,1,2,'SOUTH OF GETTYSBURG',N,39473231,77122685
000000000000013,1963,0.0,5,1,2,'S OF GETTYSBURG',N,39473296,77122848
000000000000014,1990,0.0,5,1,2,'US15 & PA 116 INTERCHANGE',N,39492862,77115299
000000000000015,1963,0.0,5,1,2,'2 MI. E. OF GETTYSBURG',N,39492900,77115424
000000000000018,1990,,5,1,2,'2 MI. N. OF GETTYSBURG',N,39510636,77114727
000000000000019,1963,0.0,5,1,2,'2 MI. N.E. GETTYSBURG',N,39510636,77114831
000000000000020,1963,0.0,5,1,2,'NE OF GETTYSBURG',N,39520642,77113986
000000000000022,1967,0.0,5,1,3,'NE OF GETTYSBURG',N,39544105,77095593
000000000000024,1967,0.0,5,1,2,'S OF HEIDLERSBURG',N,39554871,77091586
000000000000025,1967,2010.0,5,1,2,'2 MI. S. OF HEIDLERSBURG',N,39554958,77091625
000000000000027,1967,,5,1,2,'2 MI N OF HEIDLERSBURG',N,39583047,77073799
000000000000028,1967,2010.0,5,1,2,'N OF HEIDLERSBURG',N,39583128,77073899
000000000000031,1957,2001.0,5,1,2,'E OF YORK SPRINGS',N,40000351,77062067
000000000000034,1963,1995.0,5,1,2,'N OF YORK SPRINGS',N,40013768,77051156
000000000000036,1939,2011.0,5,1,3,'SW OF GETTYSBURG',N,39442606,77254234
000000000000037,1952,0.0,5,1,3,'2 MI. E. OF FOUNTAINDALE',N,39443104,77243921
000000000000038,1952,0.0,5,1,3,'SW OF GETTYSBURG',N,39440757,77222282
000000000000039,1954,2010.0,5,1,3,'4 MI S OF FAIRFIELD',N,39435382,77215754
000000000000041,1948,0.0,5,1,2,'0.5 MI.W. OF CASHTOWN',N,39534570,77220019
000000000000042,1990,0.0,5,1,2,'NW OF GETTYSBURG',N,39512392,77173818
000000000000043,1990,0.0,5,1,2,'SEVEN STARS',N,39511452,77171619
000000000000050,1963,0.0,5,1,2,'E OF GETTYSBURG',N,39504644,77114256
000000000000052,1929,2008.0,5,1,2,'2 1/2 MI.W. OF NEW OXFORD',N,39514416,77064942
000000000000054,1929,0.0,5,1,2,'W OF NEW OXFORD',N,39514175,77042636
000000000000061,1920,1981.0,5,1,3,'1 MI. S. OF BIGLERVILLE',N,39543728,77145421
000000000000069,1932,0.0,5,1,3,'2.5 MI.N. OF BIGLERVILLE',N,39581109,77144205
000000000000076,1989,0.0,5,1,3,'1.25 MI SE OF HAMPTON',N,39544366,77030134
000000000000080,1927,2010.0,5,1,3,'.5 MI SE OF YORK SPRINGS',N,39594232,77053945
000000000000093,1986,0.0,5,1,3,'4 MI.S.OF FAIRFIELD',N,39440838,77221608
000000000000097,1954,0.0,5,5,3,'FAIRFIELD',N,39472635,77215346
000000000000099,1920,0.0,5,1,3,'SW OF GETTYSBURG',N,39485928,77181032
000000000000100,1927,0.0,5,1,3,'2 MI. S. OF KNOXLYN',N,39490255,77175800
000000000000101,1947,2012.0,5,1,3,'SW OF GETTYSBURG',N,39490612,77170478
000000000000106,1970,0.0,5,1,3,'1.0 MI EAST OF GETTYSBURG',N,39493607,77121763
000000000000113,1949,0.0,5,1,3,'.5 MI. W. OF BRUSHTOWN',N,39480055,77042061
000000000000114,1932,1949.0,5,1,3,'1/2 MI. W. OF BRUSHTOWN',N,39475458,77031979
000000000000115,1912,1952.0,5,5,3,'W OF MCSHERRYSTOWN',N,39475794,77014402
000000000000118,1989,,5,1,3,'Barlow',N,39452441,77135288
000000000000119,1929,0.0,5,1,3,'N OF BARLOW',N,39455390,77135518
000000000000120,1963,2011.0,5,1,3,'4 MI. S. OF GETTYSBURG',N,39463632,77134526
000000000000122,1954,1979.0,5,1,3,'E OF LITTLESTOWN',N,39451823,77023394
000000000000124,1956,0.0,5,1,3,'NE OF LITTLESTOWN',N,39455563,77013665
000000000000138,1932,1984.0,5,1,3,'BRIDGEPORT',N,39555773,77184458
000000000000153,1968,0.0,5,1,3,'HEIDLERSBURG',N,39565627,77080612
000000000000155,1930,,5,1,3,'1MI NE OF HAMPTON',N,39560992,77015456
000000000000157,1993,0.0,5,1,3,'EAST BERLIN BORO',N,39562718,76592626
000000000000162,1940,0.0,5,1,3,'1.25 MI. SE OF TABLE ROCK',N,39535237,77123230
000000000000163,1991,0.0,5,1,3,'2 3/4 MI.N.W. HUNTERSTOWN',N,39533837,77113984
000000000000164,1963,2011.0,5,1,3,'W. OF HUNTERSTOWN',N,39532225,77105416
000000000000168,1935,1950.0,5,1,3,'.75 MI. NE OF NEW CHESTER',N,39544251,77050578
000000000000171,1932,1986.0,5,1,3,'3MI SE OF YORK SPRINGS',N,39584373,77040285
000000000000173,1910,0.0,1,1,3,'PONDTOWN MILL',N,40000557,77033096
000000000000174,1922,0.0,5,1,3,'W.OF DEARDORFFS MILL',N,40014587,77051878
000000000000176,1950,0.0,5,1,3,'1 MI N OF LATIMORE',N,40033263,77065150
