STRUCTURE_NUMBER_008,BRIDGE_CONDITION,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,POSTING_EVAL_070,LOWEST_RATING
        1PA0099,F,N,N,N,6,6,6,6,N,6,8,5,6
000000000000001,G,7,7,7,N,N,7,5,3,N,8,5,7
000000000000002,G,7,7,7,8,N,7,7,N,9,8,5,7
000000000000003,F,7,6,6,6,N,6,8,N,9,8,5,6
000000000000004,G,7,7,7,5,N,7,7,N,9,8,5,7
000000000000005,F,6,6,6,5,N,6,7,N,9,8,5,6
000000000000007,F,N,N,N,6,6,6,N,N,9,8,5,6
000000000000008,G,8,7,7,N,N,7,6,4,N,8,5,7
000000000000010,F,5,7,7,N,N,7,6,4,N,8,5,5
000000000000012,G,7,7,7,6,N,7,7,N,9,8,5,7
000000000000013,F,5,7,7,7,N,6,7,N,9,8,5,5
000000000000014,F,7,7,6,N,N,6,7,4,N,8,5,6
000000000000015,F,7,7,6,N,N,6,9,4,N,8,5,6
000000000000018,G,7,7,7,N,N,7,5,3,N,8,5,7
000000000000019,F,7,5,7,N,N,3,7,3,N,8,5,5
000000000000020,F,N,N,N,5,6,6,N,N,9,8,5,6
000000000000022,F,7,6,6,N,N,6,5,6,N,7,5,6
000000000000024,G,7,7,7,7,N,4,7,N,8,8,5,7
000000000000025,F,6,6,6,6,N,5,7,N,9,8,5,6
000000000000027,F,8,6,6,7,N,5,7,N,9,8,5,6
000000000000028,F,6,6,5,7,N,4,7,N,9,8,5,5
000000000000031,G,7,7,7,N,N,7,9,4,N,6,5,7
000000000000034,F,7,7,5,6,N,5,9,N,8,8,5,5
000000000000036,F,7,7,6,6,N,6,9,N,6,7,5,6
000000000000037,F,N,N,N,6,6,6,N,N,9,8,5,6
000000000000038,F,6,6,5,5,N,5,5,N,8,8,5,5
000000000000039,F,7,5,5,6,N,5,4,N,6,8,5,5
000000000000041,F,5,5,5,5,N,5,9,N,6,8,5,5
000000000000042,F,6,6,7,7,N,6,5,N,6,8,5,6
000000000000043,F,7,6,7,6,N,6,5,N,6,8,5,6
000000000000050,F,6,6,5,N,N,5,9,3,N,8,5,5
000000000000052,F,5,5,5,5,N,5,9,N,4,8,5,5
000000000000054,F,N,5,5,5,N,5,9,N,8,8,5,5
000000000000061,P,4,4,5,6,N,4,5,N,6,8,5,4
000000000000069,F,6,5,6,5,N,5,2,N,5,8,5,5
000000000000076,F,8,6,7,7,N,6,5,N,6,8,5,6
000000000000080,F,6,8,6,6,N,6,5,N,9,7,5,6
000000000000093,F,6,8,8,6,N,8,4,N,6,8,5,6
000000000000097,F,7,5,5,4,N,5,5,N,6,8,5,5
000000000000099,P,5,4,5,4,N,4,2,N,4,8,5,4
000000000000100,F,5,5,6,6,N,5,2,N,6,8,5,5
000000000000101,G,7,7,7,4,N,7,3,N,6,8,5,7
000000000000106,G,7,7,7,5,N,7,6,N,6,8,5,7
000000000000113,F,N,N,N,6,6,6,N,N,9,8,5,6
000000000000114,F,5,5,5,6,N,5,3,N,9,8,5,5
000000000000115,F,5,5,5,5,N,5,4,N,6,8,5,5
000000000000118,F,7,6,7,6,N,6,5,N,6,7,5,6
000000000000119,F,5,5,6,5,N,5,4,N,6,8,5,5
000000000000120,F,8,6,6,N,N,4,6,3,N,8,5,6
000000000000122,F,5,6,5,7,N,5,5,N,6,8,5,5
000000000000124,F,6,6,5,5,N,5,5,N,8,8,5,5
000000000000138,F,7,5,5,6,N,5,4,N,6,8,5,5
000000000000153,F,5,5,5,N,N,5,4,6,N,8,5,5
000000000000155,F,6,6,6,7,N,5,2,N,5,8,5,6
000000000000157,G,7,7,7,6,N,7,4,N,9,8,5,7
000000000000162,P,4,5,5,6,N,5,2,N,7,5,5,4
000000000000163,G,7,8,7,6,N,7,4,N,9,8,5,7
000000000000164,F,7,7,6,N,N,4,5,6,N,8,5,6
000000000000168,P,4,5,5,8,N,5,4,N,7,5,5,4
000000000000171,F,7,6,6,6,N,6,5,N,5,8,5,6
000000000000173,P,N,4,4,6,N,4,2,N,7,8,5,4
000000000000174,F,5,6,5,4,N,5,2,N,7,8,5,5
000000000000176,F,5,5,5,5,N,5,4,N,7,8,5,5
000000000000177,G,8,8,7,6,N,7,4,N,7,8,5,7
000000000000178,F,8,7,6,7,N,6,4,N,8,8,5,6
000000000000183,F,7,5,5,N,N,5,5,6,N,8,5,5
000000000000184,F,7,5,5,5,N,5,4,N,7,8,5,5
000000000000188,G,7,7,7,7,N,7,4,N,9,8,5,7
000000000000192,F,6,6,5,6,N,5,2,N,9,8,5,5
000000000000193,F,5,5,5,5,N,5,2,N,7,8,5,5
