STRUCTURE_NUMBER_008,MIN_VERT_CLR_010,APPR_WIDTH_MT_032,STRUCTURE_FLARED_035,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,HORR_CLR_MT_047,DECK_AREA,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,MIN_NAV_CLR_MT_116,DEGREES_SKEW_034
        1PA0099,99.99,11.6,0,0.0,0.0,0.0,0.0,10.9,12.5,99.99,N,0.0,N,0.0,0.0,10.9,88.75,6.7,7.1,,18
000000000000001,99.99,8.5,0,0.0,0.0,0.5,0.5,8.5,10.2,99.99,H,4.5,H,99.9,99.9,8.5,410.04,20.1,40.2,0.0,9
000000000000002,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.0,99.99,N,0.0,N,0.0,0.0,12.2,408.2,29.9,31.4,0.0,6
000000000000003,99.99,12.2,0,0.0,0.0,0.2,0.2,12.8,13.9,99.99,N,0.0,N,0.0,0.0,12.8,428.12,14.6,30.8,0.0,6
000000000000004,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.0,99.99,N,0.0,N,0.0,0.0,12.2,590.2,22.3,45.4,0.0,0
000000000000005,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.9,99.99,N,0.0,N,0.0,0.0,12.2,635.23,21.6,45.7,0.0,0
000000000000007,99.99,23.2,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,18.3,155.44,6.7,6.7,0.0,12
000000000000008,99.99,8.8,0,0.0,0.0,0.2,0.2,8.9,9.9,99.99,H,4.67,H,99.9,99.9,8.9,464.31,26.5,46.9,0.0,0
000000000000010,99.99,5.2,0,0.0,0.0,0.5,0.5,9.1,11.0,99.99,H,4.57,H,99.9,99.9,9.1,154.0,12.8,14.0,0.0,0
000000000000012,99.99,12.2,0,0.0,0.0,0.2,0.2,12.4,13.2,99.99,N,0.0,N,0.0,0.0,12.2,627.0,23.2,47.5,0.0,29
000000000000013,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.9,99.99,N,0.0,N,0.0,0.0,12.2,651.91,22.9,46.9,0.0,30
000000000000014,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.0,99.99,H,4.52,H,2.4,0.0,12.2,170.3,12.8,13.1,0.0,14
000000000000015,99.99,12.2,0,0.0,0.0,0.2,0.2,13.1,14.0,99.99,H,4.9,H,2.4,0.0,13.1,183.4,12.8,13.1,0.0,14
000000000000018,99.99,14.9,0,0.0,0.0,0.2,0.2,15.4,16.1,99.99,R,6.92,R,0.0,0.0,15.4,450.8,26.8,28.0,0.0,0
000000000000019,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.9,99.99,R,7.62,R,0.0,0.0,12.2,372.52,26.8,26.8,0.0,0
000000000000020,99.99,23.2,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,18.9,162.4,7.0,7.0,0.0,30
000000000000022,99.99,5.5,0,0.0,0.0,0.5,0.5,8.5,10.2,99.99,H,4.42,H,99.9,99.9,8.5,668.1,21.3,65.5,0.0,24
000000000000024,99.99,12.2,0,0.0,0.0,0.5,0.5,12.2,13.9,99.99,N,0.0,N,0.0,0.0,12.2,707.51,25.3,50.9,0.0,16
000000000000025,99.99,11.6,0,0.0,0.0,0.5,0.5,12.2,14.0,99.99,N,0.0,N,0.0,0.0,12.2,712.6,25.3,50.9,0.0,16
000000000000027,99.99,11.6,0,0.0,0.0,0.5,0.5,12.2,13.9,99.99,N,0.0,N,0.0,0.0,12.2,440.63,15.5,31.7,0.0,30
000000000000028,99.99,12.5,0,0.0,0.0,0.5,0.5,12.2,13.9,99.99,N,0.0,N,0.0,0.0,12.2,461.48,16.2,33.2,0.0,30
000000000000031,99.99,26.5,0,0.0,0.0,0.0,0.0,25.8,26.7,99.99,H,4.34,H,1.8,99.9,25.8,1108.05,21.6,41.5,0.0,4
000000000000034,99.99,20.7,0,0.0,0.0,0.2,0.2,26.2,27.3,99.99,N,0.0,N,0.0,0.0,12.2,966.42,17.4,35.4,0.0,45
000000000000036,99.99,11.3,0,0.0,0.0,0.0,0.0,14.3,15.2,99.99,N,0.0,N,0.0,0.0,14.3,158.08,9.4,10.4,0.0,30
000000000000037,99.99,9.8,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,9.8,110.74,11.3,11.3,0.0,30
000000000000038,99.99,9.8,0,0.0,0.0,0.2,0.2,11.6,12.7,99.99,N,0.0,N,0.0,0.0,11.6,193.04,13.7,15.2,0.0,30
000000000000039,99.99,10.4,0,0.0,0.0,0.0,0.0,11.4,12.4,99.99,N,0.0,N,0.0,0.0,11.4,533.2,20.1,43.0,0.0,60
000000000000041,99.99,13.7,0,0.0,0.0,0.2,0.2,15.0,16.0,99.99,N,0.0,N,0.0,0.0,15.0,116.8,6.7,7.3,0.0,15
000000000000042,99.99,9.8,0,0.0,0.0,0.2,0.2,12.5,13.5,99.99,N,0.0,N,0.0,0.0,12.5,136.35,9.8,10.1,0.0,0
000000000000043,99.99,9.8,0,0.0,0.0,0.2,0.2,12.5,13.5,99.99,N,0.0,N,0.0,0.0,12.5,259.2,18.9,19.2,0.0,0
000000000000050,99.99,20.7,0,0.0,0.0,0.5,0.5,20.7,22.4,99.99,H,4.57,H,2.7,4.8,21.9,893.76,19.5,39.9,0.0,6
000000000000052,99.99,16.5,0,0.0,0.0,0.0,0.0,16.6,16.7,99.99,N,0.0,N,0.0,0.0,16.6,213.76,5.5,12.8,0.0,30
000000000000054,99.99,11.3,0,0.0,0.0,0.2,0.2,15.1,15.9,99.99,N,0.0,N,0.0,0.0,15.1,523.11,15.2,32.9,0.0,0
000000000000061,99.99,8.8,0,0.0,0.0,0.2,0.2,10.5,11.6,99.99,N,0.0,N,0.0,0.0,10.5,324.8,12.5,28.0,0.0,45
000000000000069,99.99,8.5,0,0.0,0.0,0.0,0.0,7.4,7.9,99.99,N,0.0,N,0.0,0.0,7.4,64.78,7.3,8.2,0.0,15
000000000000076,99.99,12.2,0,0.0,0.0,0.2,0.2,12.2,13.0,99.99,N,0.0,N,0.0,0.0,12.2,725.4,27.4,55.8,0.0,0
000000000000080,99.99,9.1,0,0.0,0.0,0.4,0.4,11.6,12.3,99.99,N,0.0,N,0.0,0.0,8.7,307.5,12.2,25.0,0.0,0
000000000000093,99.99,8.5,0,0.0,0.0,0.2,0.2,8.8,9.9,99.99,N,0.0,N,0.0,0.0,8.8,241.56,24.1,24.4,0.0,0
000000000000097,99.99,12.2,0,0.0,0.0,1.5,1.5,11.6,15.2,99.99,N,0.0,N,0.0,0.0,11.6,255.36,15.2,16.8,0.0,15
000000000000099,99.99,6.7,0,0.0,0.0,0.5,0.5,6.8,7.8,99.99,N,0.0,N,0.0,0.0,6.8,92.82,4.6,11.9,0.0,30
000000000000100,99.99,7.0,0,0.0,0.0,0.2,0.2,7.2,8.0,99.99,N,0.0,N,0.0,0.0,7.2,88.0,9.8,11.0,0.0,30
000000000000101,99.99,9.4,0,0.0,0.0,0.0,0.0,9.2,10.7,99.99,N,0.0,N,0.0,0.0,9.2,518.95,16.2,48.5,0.0,0
000000000000106,99.99,12.8,0,0.0,0.0,0.0,0.0,13.4,14.5,99.99,N,0.0,N,0.0,0.0,13.4,114.55,7.3,7.9,0.0,0
000000000000113,99.99,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,N,0.0,N,0.0,0.0,11.0,77.0,7.0,7.0,0.0,30
000000000000114,99.99,10.1,0,0.0,0.0,0.2,0.2,9.1,10.0,99.99,N,0.0,N,0.0,0.0,9.1,451.0,21.3,45.1,0.0,30
000000000000115,99.99,10.7,0,0.0,0.0,1.5,1.5,10.0,14.0,99.99,N,0.0,N,0.0,0.0,10.0,191.8,6.1,13.7,0.0,0
000000000000118,99.99,7.6,0,0.0,0.0,0.2,0.2,9.7,10.8,99.99,N,0.0,N,0.0,0.0,9.7,427.68,19.2,39.6,0.0,0
000000000000119,99.99,6.7,0,0.0,0.0,0.2,0.2,9.2,10.1,99.99,N,0.0,N,0.0,0.0,9.2,111.1,9.8,11.0,0.0,30
000000000000120,99.99,12.2,0,0.0,0.0,0.2,0.2,11.7,12.8,99.99,H,4.5,H,99.9,99.9,11.7,561.92,21.0,43.9,0.0,26
000000000000122,99.99,10.7,0,0.0,0.0,0.0,0.0,11.8,13.1,99.99,N,0.0,N,0.0,0.0,11.8,107.42,7.3,8.2,0.0,0
000000000000124,99.99,12.2,0,0.0,0.0,0.5,0.5,12.3,13.4,99.99,N,0.0,N,0.0,0.0,12.3,285.42,9.8,21.3,0.0,15
000000000000138,99.99,8.5,0,0.0,0.0,0.2,0.2,8.4,9.5,99.99,N,0.0,N,0.0,0.0,8.4,214.7,10.4,22.6,0.0,45
000000000000153,99.99,9.8,0,0.0,0.0,0.5,0.5,9.8,11.4,99.99,H,4.6,H,99.9,99.9,9.8,858.42,21.6,75.3,0.0,24
000000000000155,99.99,8.5,0,0.0,0.0,0.2,0.2,8.7,9.7,99.99,N,0.0,N,0.0,0.0,7.1,88.27,8.8,9.1,0.0,15
000000000000157,99.99,10.4,0,0.0,0.0,0.2,0.2,10.4,11.4,99.99,N,0.0,N,0.0,0.0,10.4,782.04,22.3,68.6,0.0,0
