STRUCTURE_NUMBER_008,LAT_016,LONG_017,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,DETOUR_KILOS_019
        1PA0099,40143010,76595900,41,42635,'CREEK',5
000000000000001,39432979,77181454,1,27704,'US 15; SR 0015',13
000000000000002,39440820,77175007,1,27704,'MIDDLE CREEK',13
000000000000003,39440881,77175080,1,27704,'MIDDLE CREEK',13
000000000000004,39443501,77164757,1,27704,'MARSH CREEK',13
000000000000005,39443582,77164802,1,27704,'MARSH CREEK',13
000000000000007,39461913,77142300,1,17640,'PLUM RUN',13
000000000000008,39471187,77125967,1,17640,'US 15 NB; SR 0015',11
000000000000010,39471297,77130125,1,17640,'US 15 SB; SR 0015',11
000000000000012,39473231,77122685,1,17640,'ROCK CREEK',1
000000000000013,39473296,77122848,1,17640,'ROCK CREEK',1
000000000000014,39492862,77115299,1,51776,'PA 116; SR 0116',0
000000000000015,39492900,77115424,1,74680,'PA 116; SR 0116',0
000000000000018,39510636,77114727,1,74680,'CSX',14
000000000000019,39510636,77114831,1,74680,'CSX',14
000000000000020,39520642,77113986,1,74680,'BRANCH ROCK CREEK',14
000000000000022,39544105,77095593,1,74680,'US 15; SR 0015',14
000000000000024,39554871,77091586,1,78160,'CONEWAGO CREEK',14
000000000000025,39554958,77091625,1,78160,'CONEWAGO CREEK',14
000000000000027,39583047,77073799,1,36424,'BERMUDIAN CREEK',1
000000000000028,39583128,77073899,1,36424,'BERMUDIAN CREEK',1
000000000000031,40000351,77062067,1,36424,'PA 94; SR 0094',13
000000000000034,40013768,77051156,1,41672,'LATIMORE CREEK',11
000000000000036,39442606,77254234,1,32200,'MINEY BRANCH OF TOMS CRK',48
000000000000037,39443104,77243921,1,43056,'MINEY BRANCH',18
000000000000038,39440757,77222282,1,43056,'MINEY BRANCH',48
000000000000039,39435382,77215754,1,43056,'TOMS CREEK',16
000000000000041,39534570,77220019,1,27320,'MARSH  CREEK',23
000000000000042,39512392,77173818,1,27320,'SETTLES RUN',14
000000000000043,39511452,77171619,1,27320,'MARSH CREEK',14
000000000000050,39504644,77114256,1,74680,'US 15; SR 0015',6
000000000000052,39514416,77064942,1,74680,'SWIFT RUN',5
000000000000054,39514175,77042636,1,51776,'SOUTH BR OF CONEWAGO CK',13
000000000000061,39543728,77145421,1,10456,'CONEWAGO CREEK',11
000000000000069,39581109,77144205,1,48608,'TRIB TO QUAKER RUN',18
000000000000076,39544366,77030134,1,32144,'CONEWAGO CREEK',16
000000000000080,39594232,77053945,1,41672,'BERMUDIAN CREEK',13
000000000000093,39440838,77221608,1,43056,'MINEY  RUN',19
000000000000097,39472635,77215346,1,24560,'MIDDLE CREEK',19
000000000000099,39485928,77181032,1,34424,'TRIB TO MARSH CREEK',8
000000000000100,39490255,77175800,1,34424,'TRIB TO MARSH CREEK',32
000000000000101,39490612,77170478,1,34424,'MARSH  CREEK',16
000000000000106,39493607,77121763,1,74680,'SILVER BROOK CREEK',8
000000000000113,39480055,77042061,1,78264,'TRIB TO CONEWAGO CREEK',10
000000000000114,39475458,77031979,1,78264,'S BR OF CONEWAGO CREEK',10
000000000000115,39475794,77014402,1,46376,'PLUM CREEK',6
000000000000118,39452441,77135288,1,51640,'Rock Creek',13
000000000000119,39455390,77135518,1,17640,'PLUM RUN',13
000000000000120,39463632,77134526,1,17640,'US 15; SR 0015',8
000000000000122,39451823,77023394,1,78264,'TRIB TO CONEWAGO',10
000000000000124,39455563,77013665,1,78264,'SOUTH BR OF CONEWAGO',16
000000000000138,39555773,77184458,1,48608,'CONEWAGO CREEK',13
000000000000153,39565627,77080612,1,78160,'US 15; SR 0015',13
000000000000155,39560992,77015456,1,63616,'MARKLE RUN',11
000000000000157,39562718,76592626,1,63616,'CONEWAGO CREEK',16
000000000000162,39535237,77123230,1,74680,'ROCK CREEK',11
000000000000163,39533837,77113984,1,74680,'ROCK CREEK',11
000000000000164,39532225,77105416,1,74680,'US 15; SR 0015',16
000000000000168,39544251,77050578,1,74680,'CONEWAGO CREEK',19
000000000000171,39584373,77040285,1,63616,'MUD CREEK',13
000000000000173,40000557,77033096,1,41672,'BERMUDIAN CREEK',13
000000000000174,40014587,77051878,1,41672,'LATIMORE CREEK',16
000000000000176,40033263,77065150,1,41672,'LATIMORE CREEK',18
000000000000177,39594026,77014509,1,63616,'MUD RUN',13
000000000000178,40001519,77013818,1,41672,'BERMUDIAN CREEK',11
000000000000183,39584574,77073132,1,36424,'SR 0015  ; US 15',13
000000000000184,39581823,76594839,1,63616,'RED RUN',14
000000000000188,39592896,77083157,1,36424,'TRIB BERMUDIAN CREEK',16
000000000000192,39525608,77041156,1,57472,'LITTLE CONEWAGO CREEK',21
000000000000193,39532609,77050507,1,51776,'SWIFT RUN',14
000000000000194,39542688,77055795,1,74680,'CONEWAGO CREEK',18
000000000000195,39561267,77080296,1,78160,'TRIB CONEWAGO CREEK',18
000000000000197,39592739,77104855,1,78160,'UPPER BERMUDIAN CREEK',14
000000000000199,39540550,77092086,1,74680,'BEAVERDAM CREEK',14
000000000000200,39545172,77084694,1,74680,'TRIB OF CONEWAGO CREEK',23
000000000000201,39545960,77083737,1,74680,'CONEWAGO CREEK',23
000000000000202,39551048,77010603,1,32144,'CONEWAGO CREEK',19
000000000000205,39534880,77005592,1,32144,'PINE RUN',11
000000000000209,40005601,77102392,1,36424,'TRIB BERMUDIAN CREEK',14
000000000000214,39540857,77040675,1,32144,'CONEWAGO CREEK',11
000000000000228,39503032,77085010,1,51776,'WHITE RUN',13
000000000000232,39492619,77045585,1,51776,'SHOVELSBURG RUN',13
000000000000234,39484000,77025092,1,51776,'SOUTH BR CONEWAGO CR',5
000000000000235,39472668,77010897,1,15632,'PLUM CREEK',10
000000000000236,39455954,77001982,1,15632,'INDIAN RUN',14
000000000000237,39493334,77033810,1,57472,'SO BRANCH CONEWAGO CREEK',19
000000000000238,39490583,77022393,1,15632,'PLUM CREEK',5
000000000000246,39435013,77091457,1,28936,'ALLOWAY CREEK',14
000000000000247,39432526,77061508,1,28936,'PINEY CREEK',11
000000000000248,39432600,77060801,1,28936,'PINEY CREEK',11
000000000000249,39524089,77060271,1,51776,'SWIFT RUN',21
000000000000252,39463822,77031400,1,78264,'STERNERS CREEK',8
000000000000261,39481835,77124132,1,51640,'ROCK CREEK',11
000000000000264,39442209,77172043,1,27704,'US 15; SR 0015',16
000000000000274,39563125,77090431,1,78160,'TRIB CONEWAGO CREEK',18
000000000000279,39434285,77152379,1,27704,'MARSH CREEK',23
000000000000281,39434771,77134891,1,17640,'ROCK CREEK',19
000000000000282,39433883,77132847,1,51640,'TRIB ROCK CREEK',19
000000000000285,39513156,77115294,1,74680,'US 15; SR 0015',16
000000000000286,39515058,77112055,1,74680,'ROCK CREEK',10
000000000000287,39444999,77162639,1,17640,'US 15; SR 0015',14
000000000000290,39474109,77171175,1,27704,'TRIB MARSH CREEK',13
000000000000291,39475571,77164277,1,17640,'MARSH CREEK',13
000000000000292,39480307,77160070,1,17640,'WILLOUGHBY RUN',16
000000000000293,39455900,77154947,1,17640,'TRIB MARSH CREEK',6
000000000000294,39455534,77153196,1,17640,'US 15 SB; SR 0015',11
000000000000295,39455416,77152925,1,17640,'US 15 NB; SR 0015',11
000000000000306,39441998,77260030,1,43056,'MINEY BR. OF TOMS CREEK',19
000000000000309,39452753,77190482,1,27704,'MIDDLE CREEK',18
000000000000310,39510616,77211189,1,27320,'LITTLE MARSH CREEK',16
000000000000311,39534291,77211807,1,27320,'MARSH RUN',14
000000000000320,39502511,77174514,1,34424,'MARSH RUN',18
000000000000321,39460907,77252612,1,32200,'TOMS CREEK',5
000000000000328,39512920,77152900,1,17640,'WILLOUGHBY RUN',14
000000000000333,39505194,77213660,1,27320,'LITTLE MARSH CREEK',5
000000000000342,39444217,77244195,1,32200,'MINEY BRANCH RUN',10
000000000000343,39460168,77231189,1,32200,'TOMS CREEK',13
000000000000366,39560084,77180964,1,27320,'CONEWAGO CREEK',14
000000000000367,39560211,77180930,1,48608,'CONEWAGO CREEK',14
000000000000374,39594475,77161644,1,48608,'OPOSSUM CREEK',11
000000000000383,39552737,77123490,1,10456,'CONEWAGO CREEK',19
000000000000385,39545490,77171378,1,10456,'CONEWAGO CREEK',8
000000000000388,39540936,77155724,1,10456,'CONEWAGO CREEK',6
000000000000389,39555349,77114866,1,10456,'OPOSSUM CREEK',5
000000000000393,39554042,77112372,1,10456,'CONEWAGO CREEK',8
000000000000394,39554606,77113216,1,10456,'OPOSSUM CREEK',8
000000000000395,39575313,77131810,1,10456,'OPOSSUM CREEK',3
000000000000396,39541172,77162148,1,10456,'CONEWAGO CREEK',6
000000000000398,39470701,77030152,1,15632,'SOUTH BR. CONEWAGO',5
000000000000399,39470184,77163428,1,17640,'MARSH CREEK',6
000000000000400,39482402,77160421,1,17640,'WILLOUGHBY RUN',6
000000000000401,39494302,77152615,1,17640,'WILLOUGHBY RUN',1
000000000000402,39512447,77132351,1,17640,'ROCK CREEK',5
000000000000406,39462033,77123152,1,17640,'ROCK CREEK',8
000000000000407,39465719,77122316,1,17640,'ROCK CREEK',6
000000000000408,39520201,77132203,1,17640,'ROCK CREEK',10
000000000000418,39530220,77195177,1,27320,'MARSH CREEK',3
000000000000419,39532121,77200535,1,27320,'MARSH CREEK',6
000000000000420,39560216,77192078,1,27320,'CONEWAGO CREEK',5
000000000000421,39463417,77173064,1,27704,'PLUM RUN',5
000000000000422,39440313,77174662,1,27704,'MIDDLE CREEK',2
000000000000425,39455085,77064199,1,28936,'ALLOWAY CREEK',5
000000000000426,39533066,77005750,1,32144,'PINE RUN',6
000000000000427,39531665,77005688,1,32144,'PINE RUN',5
000000000000428,39554345,77020099,1,32144,'CONEWAGO CREEK',8
000000000000429,39540673,77010604,1,32144,'PINE RUN',1
000000000000432,39550270,76580239,1,32144,'BEAVER CREEK',6
000000000000433,39463238,77235054,1,32200,'TOMS CREEK',5
000000000000434,39460507,77260009,1,32200,'TOMS CREEK',13
000000000000435,39471696,77204805,1,32200,'SPRING RUN',6
000000000000436,39481415,77244771,1,32200,'SWAMP CREEK',14
000000000000437,39504558,77201271,1,34424,'LITTLE MARSH CREEK',6
000000000000439,39584901,77091661,1,36424,'BERMUDIAN CREEK',3
000000000000440,39593101,77111097,1,36424,'BERMUDIAN CREEK',6
000000000000441,40012728,77050320,1,41672,'LATIMORE CREEK',5
000000000000442,40020968,77071124,1,41672,'TRIB.TO LATIMORE CREEK',8
000000000000443,40000377,77051594,1,41672,'BERMUDIAN CREEK',5
000000000000445,40002504,77023372,1,41672,'BERMUDIAN CREEK',5
000000000000446,40000060,77042488,1,41672,'BERMUDIAN CREEK',5
000000000000447,40003879,77040863,1,41672,'LATIMORE CREEK',5
000000000000448,40025558,77060068,1,41672,'LATIMORE CREEK',6
000000000000449,39443481,77244088,1,43056,'BRANCH CREEK',1
000000000000450,39433503,77200566,1,43056,'FLAT RUN',6
000000000000451,39462699,77195767,1,43056,'MIDDLE CREEK',3
000000000000452,39470414,77201376,1,43056,'MIDDLE CREEK',3
000000000000453,39593143,77143406,1,48608,'OPOSSUM CREEK',3
000000000000456,39465484,77114308,1,51640,'LITTLES RUN',8
000000000000458,39495679,77044724,1,51776,'CONEWAGO CREEK',6
000000000000459,39504470,77071571,1,51776,'TRIB.OF SWIFT RUN',5
000000000000460,39504689,77072696,1,51776,'TRIB OF SWIFT RUN',5
000000000000461,39505625,77041623,1,51776,'CONEWAGO CREEK S.BRANCH',5
000000000000462,39520378,77063611,1,51776,'SWIFT RUN',3
000000000000463,39522122,77035590,1,57472,'CONEWAGO CREEK',6
000000000000464,39511026,77040153,1,57472,'TRIB.CONEWAGO CREEK',3
000000000000465,39563437,77021316,1,63616,'MARKEL RUN',10
000000000000466,39555039,77005913,1,63616,'MARKLE RUN',5
000000000000467,39540204,77074330,1,74680,'BEAVERDAM CREEK',8
000000000000468,39540627,77085736,1,74680,'BEAVERDAM CREEK',6
000000000000473,39531041,76585221,1,116,'BRANCH OF BEAVER CREEK',5
000000000000474,39514392,77032771,1,53920,'CSX TRANSPORTATION',3
000000000000475,39432957,77221504,1,11472,'FRIENDS CREEK',10
000000000000478,39545399,77280551,1,27320,'HOSACK RUN',159
000000000000488,40291850,79561448,3,61000,'N&S RR  S.MAIN ST. RIVER',6
000000000000491,40294514,79562343,3,24160,'RT.28 RAILROAD LOCAL ST.',6
000000000000492,40294464,79562402,3,24160,'70 PAR 72 LOCAL RR',0
000000000000495,40303624,79564598,3,69584,'PINE CREEK',6
000000000000496,40304037,79564885,3,69584,'PINE CREEK NEAR FLOOD CH',5
000000000000497,40311362,79570166,3,69584,'PINE CREEK',5
000000000000498,40314885,79571340,3,69584,'PINE CREEK',5
000000000000499,40321336,79574472,3,69584,'PINE CREEK',6
000000000000501,40332642,79573165,3,32328,'PINE CREEK',5
000000000000502,40335125,79572831,3,32328,'GOURDHEAD RUN',6
000000000000506,40390345,79561143,3,64528,'SR 4068-RED BELT',0
000000000000512,40182411,80053798,3,79304,'BR.BRUSH RUN',6
000000000000513,40193820,80043228,3,79304,'SR 0019',0
000000000000514,40195464,80041147,3,79304,'SR 3004 MCMURRAY RD',3
000000000000524,40254360,80014687,3,61000,'SR 0376 EB-WB',2
000000000000526,40253170,80015259,3,61000,'SR 0376  EB-WB',2
000000000000531,40260000,80010000,3,61000,'SAW MILL RUN',3
000000000000533,40265090,80013600,3,61000,'65 NB&SB RAMP H & RAMP C',5
000000000000535,40263980,80014150,3,61000,'OHIO RIVER  CSX RR',5
000000000000538,40294760,80011206,3,66264,'SR 0279',2
000000000000539,40350910,80024005,3,45912,'PINE CREEK',2
000000000000547,40253679,80174066,3,55016,'POTATO GARDEN RD.',0
000000000000548,40253782,80170555,3,55016,'OLD STEUBENVILLE PIKE',6
000000000000549,40260418,80150858,3,55016,'TWP RD 873  PARTRIDGE LN',6
000000000000550,40262143,80141537,3,55016,'SR 0978',3
000000000000551,40261206,80123753,3,55016,'OAKDALE ROAD SR 3063',5
000000000000552,40261949,80113057,3,55016,'SR 3103- Mckee Road',3
000000000000555,40265006,80095775,3,65352,'SR 0376 EB WB',3
000000000000557,40254854,80080681,3,65352,'MCMICHAEL ROAD',3
000000000000565,40254338,79433824,3,50528,'THOMPSON RUN',16
000000000000566,40253780,79431976,3,50528,'ABERS CREEK',0
000000000000570,40271650,79593932,3,61000,'PA 28 EB&WB RAMP H EB',3
000000000000572,40300000,80000000,3,61000,'MADISON AVENUE CITY PGH',2
000000000000580,40290000,79583000,3,49920,'BRIDGE ST.',0
000000000000582,40284111,79580463,3,49920,'RAMP B',0
000000000000583,40283808,79580832,3,49920,'(4009) RP B & BRIDGE ST',0
000000000000584,40284291,79580217,3,49920,'SR 8046 RAMP A',0
000000000000594,40293180,79570149,3,24160,'SR 1001 BUTLER ST.',3
000000000000598,40294493,79562137,3,24160,'SR.8 NB/SB N.MAIN RR SP.',0
000000000000599,40294615,79562172,3,24160,'RT 8 NB/SB  RT 8 RMPS',0
000000000000600,40294925,79560795,3,69776,'SR 1007-RAVINE ST.',6
000000000000603,40295003,79560726,3,69776,'RAVINE ST',6
000000000000605,40295048,79553030,3,69776,'KITTANNING PIKE CREEK',16
000000000000607,40295117,79553107,3,69776,'KITTANNING PIKE SEITZ RU',16
000000000000610,40294497,79544216,3,69776,'SCOUT RESERVATION ROAD',16
000000000000612,40294644,79544614,3,69776,'SCOUT RESERVATION ROAD',16
000000000000614,40293855,79541302,3,3320,'CENTER AVE.',2
000000000000615,40293000,79540000,3,3320,'LEXINGTON & DELAFIELD',2
000000000000617,40293941,79541417,3,3320,'CENTER AVE',2
000000000000618,40293000,79540000,3,3320,'DELAFIELD RD.-LEXINGTON',2
000000000000619,40291200,79530000,3,56384,'FOX CHAPEL ROAD',2
000000000000620,40292645,79524848,3,56384,'S.OAKHILL DR.& SQUAW RUN',2
000000000000621,40292714,79525868,3,56384,'FOX CHAPEL ROAD',0
000000000000622,40292717,79525019,3,56384,'S.OAKHILL DR.& SQUAW RUN',1
000000000000624,40293000,79523000,3,56384,'SR 0028 NB SB',0
000000000000625,40300389,79514441,3,56384,'GAMMA DRIVE (TWP RD 505)',1
000000000000626,40300400,79514555,3,56384,'GAMMA DRIVE (TWP RD 505)',2
