STRUCTURE_NUMBER_008,DIRECTION_005E,TRAFFIC_DIRECTION_102,NAVIGATION_038,TOLL_020,FUNCTIONAL_CLASS_026,DETOUR_KILOS_019,KILOPOINT_011,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,PERCENT_ADT_TRUCK_109,YEAR_ADT_030,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115
        1PA0099,0,2,N,3,9,5,0.0,2,0,1500,5.0,2003,1800,2035
000000000000001,0,2,N,3,19,13,0.0,2,8,871,8.0,2022,983,2032
000000000000002,1,1,0,3,2,13,1.918,2,0,9045,20.0,2021,10417,2032
000000000000003,3,1,0,3,2,13,1.936,2,0,8907,21.0,2021,10516,2032
000000000000004,1,1,0,3,2,13,3.618,2,0,10335,22.0,2022,13741,2032
000000000000005,3,1,0,3,2,13,3.642,2,0,9627,22.0,2022,12732,2032
000000000000007,0,2,0,3,2,13,7.953,4,0,19962,22.0,2022,26473,2032
000000000000008,0,2,N,3,19,11,0.014,2,2,151,7.0,2022,188,2032
000000000000010,0,2,N,3,19,11,0.0,2,2,151,7.0,2022,188,2032
000000000000012,1,1,0,3,12,1,12.089,2,0,10335,22.0,2022,13741,2032
000000000000013,3,1,0,3,12,1,12.114,2,0,9627,22.0,2022,12732,2032
000000000000014,1,1,N,3,12,0,16.095,2,2,10849,20.0,2022,14336,2032
000000000000015,3,1,N,3,12,0,16.108,2,2,11478,19.0,2022,14892,2032
000000000000018,1,1,N,3,12,14,19.158,3,0,9197,20.0,2021,11775,2032
000000000000019,3,1,N,3,12,14,19.156,2,0,8733,21.0,2021,12305,2032
000000000000020,0,2,0,3,2,14,19.948,4,0,17930,21.0,2021,24080,2032
000000000000022,0,2,N,3,9,14,0.0,2,8,453,9.0,2021,463,2032
000000000000024,1,1,0,3,2,14,28.464,2,0,9197,20.0,2021,11775,2032
000000000000025,3,1,0,3,2,14,28.373,2,0,8733,21.0,2021,12305,2032
000000000000027,1,1,0,3,2,1,34.179,2,0,9197,20.0,2021,11775,2032
