STRUCTURE_NUMBER_008,OWNER_022,MAINTENANCE_021,TOLL_020
        1PA0099,73,73,3
000000000000001,1,1,3
000000000000002,1,1,3
000000000000003,1,1,3
000000000000004,1,1,3
000000000000005,1,1,3
000000000000007,1,1,3
000000000000008,1,1,3
000000000000010,1,1,3
000000000000012,1,1,3
000000000000013,1,1,3
000000000000014,1,1,3
000000000000015,1,1,3
000000000000018,1,1,3
000000000000019,1,1,3
000000000000020,1,1,3
000000000000022,1,1,3
000000000000024,1,1,3
000000000000025,1,1,3
000000000000027,1,1,3
000000000000028,1,1,3
000000000000031,1,1,3
000000000000034,1,1,3
000000000000036,1,1,3
000000000000037,1,1,3
000000000000038,1,1,3
000000000000039,1,1,3
000000000000041,1,1,3
000000000000042,1,1,3
000000000000043,1,1,3
000000000000050,1,1,3
000000000000052,1,1,3
000000000000054,1,1,3
000000000000061,1,1,3
000000000000069,1,1,3
000000000000076,1,1,3
000000000000080,1,1,3
000000000000093,1,1,3
000000000000097,1,1,3
000000000000099,1,1,3
000000000000100,1,1,3
000000000000101,1,1,3
000000000000106,1,1,3
000000000000113,1,1,3
000000000000114,1,1,3
000000000000115,1,1,3
000000000000118,1,1,3
000000000000119,1,1,3
000000000000120,1,1,3
000000000000122,1,1,3
000000000000124,1,1,3
000000000000138,1,1,3
000000000000153,1,1,3
000000000000155,1,1,3
000000000000157,1,1,3
000000000000162,1,1,3
000000000000163,1,1,3
000000000000164,1,1,3
000000000000168,1,1,3
000000000000171,1,1,3
000000000000173,1,1,3
000000000000174,1,1,3
000000000000176,1,1,3
000000000000177,1,1,3
000000000000178,1,1,3
000000000000183,1,1,3
000000000000184,1,1,3
000000000000188,1,1,3
000000000000192,1,1,3
000000000000193,1,1,3
000000000000194,1,1,3
000000000000195,1,1,3
000000000000197,1,1,3
000000000000199,1,1,3
000000000000200,1,1,3
000000000000201,1,1,3
000000000000202,1,1,3
000000000000205,1,1,3
000000000000209,1,1,3
000000000000214,1,1,3
000000000000228,1,1,3
000000000000232,1,1,3
000000000000234,1,1,3
000000000000235,1,1,3
000000000000236,1,1,3
000000000000237,1,1,3
000000000000238,1,1,3
000000000000246,1,1,3
000000000000247,1,1,3
000000000000248,1,1,3
000000000000249,1,1,3
000000000000252,1,1,3
000000000000261,1,1,3
000000000000264,1,1,3
000000000000274,1,1,3
000000000000279,1,1,3
000000000000281,1,1,3
000000000000282,1,1,3
000000000000285,1,1,3
000000000000286,1,1,3
000000000000287,1,1,3
000000000000290,1,1,3
