STRUCTURE_NUMBER_008,APPR_KIND_044A,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,MEDIAN_CODE_033,DECK_STRUCTURE_TYPE_107,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,PARALLEL_STRUCTURE_101
        1PA0099,0,1,19,0,1,0,0,2,0,0,0,0,N
000000000000001,0,5,2,0,2,0,0,1,0,1,1,1,N
000000000000002,0,5,2,0,1,0,1,1,1,1,0,1,R
000000000000003,0,5,6,0,2,0,1,1,1,1,0,1,L
000000000000004,0,6,6,0,2,0,1,1,1,1,1,1,R
000000000000005,0,5,2,0,2,0,1,1,1,1,1,1,L
000000000000007,0,1,19,0,1,0,2,N,1,1,1,1,N
000000000000008,0,5,2,0,3,0,0,1,1,1,1,1,N
000000000000010,0,5,6,0,1,0,0,1,0,1,0,1,N
000000000000012,0,5,6,0,2,0,1,1,1,1,1,1,R
000000000000013,0,5,2,0,2,0,1,1,1,1,1,1,L
000000000000014,0,5,6,0,1,0,1,1,1,0,0,1,R
000000000000015,0,5,6,0,1,0,0,1,1,0,1,1,L
000000000000018,0,5,2,0,1,0,1,1,0,0,0,1,R
000000000000019,0,5,5,0,1,0,1,1,1,1,1,1,L
000000000000020,0,1,19,0,1,0,0,N,1,1,1,1,N
000000000000022,0,5,2,0,4,0,0,1,0,0,1,1,N
000000000000024,0,5,6,0,2,0,1,1,1,1,1,1,R
000000000000025,0,5,6,0,2,0,1,1,1,1,1,1,L
000000000000027,0,5,6,0,2,0,1,1,1,1,1,1,R
000000000000028,0,5,6,0,2,0,1,1,1,1,1,1,L
000000000000031,0,4,2,0,3,0,2,1,1,1,1,1,N
000000000000034,0,5,6,0,2,0,2,1,1,1,1,1,N
000000000000036,0,5,6,0,1,0,0,1,1,1,1,1,N
000000000000037,0,1,19,0,1,0,0,N,1,1,1,1,N
000000000000038,0,1,4,0,1,0,0,1,0,1,1,0,N
000000000000039,0,3,2,0,2,0,0,1,1,1,1,1,N
000000000000041,0,1,4,0,1,0,0,1,0,1,1,1,N
000000000000042,0,5,5,0,1,0,0,1,1,1,1,1,N
000000000000043,0,5,5,0,1,0,0,1,1,1,1,1,N
000000000000050,0,5,6,0,2,0,2,1,0,0,1,1,N
000000000000052,0,1,1,0,2,0,0,N,1,1,1,1,N
000000000000054,0,1,11,0,2,0,0,N,0,1,1,1,N
000000000000061,5,1,4,5,2,0,0,1,1,1,1,1,N
000000000000069,0,1,4,0,1,0,0,1,1,1,0,0,N
000000000000076,0,6,6,0,2,0,0,1,1,1,1,1,N
000000000000080,0,5,6,0,2,0,0,1,1,1,1,1,N
000000000000093,0,5,5,0,1,0,0,1,1,1,1,1,N
000000000000097,0,3,2,0,1,0,0,1,1,1,1,1,N
000000000000099,0,3,4,0,2,0,0,1,0,0,0,0,N
000000000000100,0,1,4,0,1,0,0,1,0,1,1,1,N
000000000000101,0,3,2,0,3,0,0,1,1,1,1,1,N
000000000000106,0,1,1,0,1,0,0,N,1,1,1,1,N
000000000000113,0,1,19,0,1,0,0,N,1,1,1,1,N
000000000000114,0,3,2,0,2,0,0,1,0,1,1,1,N
000000000000115,0,1,1,0,2,0,0,N,1,1,1,1,N
000000000000118,0,6,6,0,2,0,0,1,1,0,1,1,N
000000000000119,0,1,4,0,1,0,0,1,0,1,1,1,N
000000000000120,0,5,2,0,2,0,0,1,1,1,1,1,N
000000000000122,0,3,2,0,1,0,0,1,1,1,1,1,N
000000000000124,0,1,4,0,2,0,0,1,1,1,1,1,N
000000000000138,0,5,6,0,2,0,0,1,1,1,1,1,N
000000000000153,0,5,6,0,4,0,0,1,1,0,1,1,N
000000000000155,0,1,4,0,1,0,0,1,1,1,0,1,N
000000000000157,0,5,6,0,3,0,0,1,1,1,1,1,N
000000000000162,0,3,2,0,1,0,0,1,1,0,0,0,N
000000000000163,0,5,6,0,1,0,0,1,1,1,1,1,N
000000000000164,0,5,2,0,2,0,0,1,1,1,1,1,N
000000000000168,0,3,2,0,2,0,0,1,0,1,0,1,N
000000000000171,0,3,2,0,2,0,0,1,1,0,0,1,N
000000000000173,0,8,11,0,3,0,0,N,0,0,0,0,N
000000000000174,0,1,0,0,1,0,0,1,0,0,0,0,N
000000000000176,0,3,2,0,1,0,0,4,0,0,1,0,N
000000000000177,0,5,6,0,2,0,0,1,1,1,1,1,N
000000000000178,0,3,2,0,2,0,0,1,1,1,1,1,N
000000000000183,0,5,6,0,4,0,0,1,1,1,1,1,N
000000000000184,0,3,2,0,1,0,0,1,1,1,1,0,N
000000000000188,0,1,7,0,1,0,0,N,1,1,1,1,N
000000000000192,0,1,4,0,3,0,0,1,0,1,1,1,N
000000000000193,0,1,4,0,2,0,0,1,0,1,0,0,N
000000000000194,0,5,5,0,2,0,0,9,0,1,0,0,N
000000000000195,0,5,6,0,1,0,0,1,1,1,1,0,N
000000000000197,0,3,2,0,1,0,0,3,1,1,0,0,N
