STRUCTURE_NUMBER_008,ADT_029,YEAR_ADT_030,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109
        1PA0099,1500,2003,1800,5.0
000000000000001,871,2022,983,8.0
000000000000002,9045,2021,10417,20.0
000000000000003,8907,2021,10516,21.0
000000000000004,10335,2022,13741,22.0
000000000000005,9627,2022,12732,22.0
000000000000007,19962,2022,26473,22.0
000000000000008,151,2022,188,7.0
000000000000010,151,2022,188,7.0
000000000000012,10335,2022,13741,22.0
000000000000013,9627,2022,12732,22.0
000000000000014,10849,2022,14336,20.0
000000000000015,11478,2022,14892,19.0
000000000000018,9197,2021,11775,20.0
000000000000019,8733,2021,12305,21.0
000000000000020,17930,2021,24080,21.0
000000000000022,453,2021,463,9.0
000000000000024,9197,2021,11775,20.0
000000000000025,8733,2021,12305,21.0
000000000000027,9197,2021,11775,20.0
000000000000028,8733,2021,12305,21.0
000000000000031,17930,2021,24080,21.0
000000000000034,19087,2020,24865,21.0
000000000000036,6232,2022,7815,11.0
000000000000037,6232,2022,7815,11.0
000000000000038,6232,2022,7815,11.0
000000000000039,10608,2022,12316,14.0
000000000000041,9337,2022,11274,8.0
000000000000042,7883,2020,10300,9.0
000000000000043,7883,2020,10300,9.0
000000000000050,14729,2020,27179,7.0
000000000000052,12242,2022,13507,9.0
000000000000054,14892,2022,17416,8.0
000000000000061,4233,2021,8396,7.0
000000000000069,5104,2022,7421,8.0
000000000000076,8734,2020,11882,10.0
000000000000080,6609,2020,10930,13.0
000000000000093,4245,2022,6283,10.0
000000000000097,7711,2020,9414,3.0
000000000000099,4830,2020,5371,2.0
000000000000100,4830,2020,5371,2.0
000000000000101,8831,2022,13220,5.0
000000000000106,7769,2022,7613,4.0
000000000000113,7869,2021,11229,6.0
000000000000114,8461,2020,10625,6.0
000000000000115,10349,2022,14728,5.0
000000000000118,1797,2020,2181,10.0
000000000000119,2830,2021,3984,8.0
000000000000120,1907,2020,3035,7.0
000000000000122,9413,2020,13694,7.0
000000000000124,12095,2021,16625,7.0
000000000000138,1560,2020,2515,3.0
000000000000153,6093,2021,8838,14.0
000000000000155,6518,2022,7306,10.0
000000000000157,7512,2020,10435,7.0
000000000000162,4597,2021,2959,8.0
000000000000163,4597,2021,2959,8.0
000000000000164,3054,2020,4436,9.0
000000000000168,1159,2021,1245,5.0
000000000000171,1042,2021,1545,7.0
000000000000173,198,2021,293,10.0
000000000000174,497,2021,593,5.0
000000000000176,427,2021,1086,5.0
000000000000177,2458,2021,2995,3.0
000000000000178,1049,2021,1486,4.0
000000000000183,485,2021,422,7.0
000000000000184,185,2022,366,5.0
000000000000188,459,2020,723,3.0
000000000000192,2056,2021,2901,8.0
000000000000193,2056,2021,2901,8.0
000000000000194,1942,2022,2332,8.0
000000000000195,1789,2021,2022,12.0
000000000000197,174,2022,284,4.0
000000000000199,201,2022,686,12.0
000000000000200,201,2022,686,12.0
000000000000201,201,2022,686,12.0
000000000000202,1190,2021,1313,6.0
000000000000205,2042,2020,2461,1.0
000000000000209,1021,2022,1691,12.0
000000000000214,643,2021,669,1.0
000000000000228,1644,2021,1544,5.0
000000000000232,2668,2021,2499,4.0
000000000000234,3840,2022,4570,2.0
000000000000235,3692,2022,4329,6.0
000000000000236,3862,2022,3336,8.0
000000000000237,549,2021,728,2.0
000000000000238,2997,2021,4065,6.0
000000000000246,1012,2022,1302,4.0
000000000000247,778,2022,1111,2.0
000000000000248,778,2022,1111,2.0
000000000000249,623,2020,896,9.0
000000000000252,357,2022,378,4.0
000000000000261,5440,2021,12075,8.0
000000000000264,2662,2022,4805,2.0
000000000000274,1431,2021,1870,3.0
000000000000279,342,2022,577,10.0
000000000000281,556,2020,573,9.0
000000000000282,556,2020,573,9.0
000000000000285,1162,2020,1565,3.0
000000000000286,1162,2020,1565,3.0
000000000000287,141,2022,215,8.0
000000000000290,726,2022,1084,6.0
000000000000291,726,2022,1084,6.0
000000000000292,726,2022,1084,6.0
000000000000293,533,2020,568,3.0
000000000000294,533,2020,568,3.0
000000000000295,533,2020,568,3.0
000000000000306,676,2020,1034,6.0
000000000000309,426,2022,657,8.0
000000000000310,2349,2022,3921,6.0
000000000000311,2352,2021,4081,11.0
000000000000320,621,2022,1086,8.0
000000000000321,562,2020,957,4.0
000000000000328,1640,2021,3305,2.0
000000000000333,297,2022,559,7.0
000000000000342,2293,2021,3182,2.0
000000000000343,2293,2021,3182,2.0
000000000000366,1146,2022,1733,6.0
000000000000367,1146,2022,1733,6.0
000000000000374,617,2022,1887,4.0
000000000000383,228,2022,309,4.0
000000000000385,532,2022,699,5.0
000000000000388,300,2009,420,2.0
000000000000389,100,2013,140,3.0
000000000000393,300,2009,420,3.0
000000000000394,300,2009,420,5.0
000000000000395,100,2009,140,3.0
000000000000396,100,2009,140,1.0
000000000000398,100,2009,140,2.0
000000000000399,150,2009,250,7.0
000000000000400,200,2009,280,5.0
000000000000401,600,2009,840,4.0
000000000000402,1000,2009,1400,10.0
000000000000406,100,2009,140,2.0
000000000000407,125,2009,175,2.0
000000000000408,100,2009,140,5.0
000000000000418,100,2009,140,2.0
000000000000419,75,2009,105,2.0
000000000000420,75,2009,105,2.0
000000000000421,75,2009,105,5.0
000000000000422,25,2009,125,0.0
000000000000425,100,2009,150,2.0
000000000000426,150,2009,70,3.0
000000000000427,100,2009,140,5.0
000000000000428,110,2009,154,2.0
000000000000429,75,2009,105,5.0
000000000000432,75,2009,105,3.0
000000000000433,100,2009,140,2.0
000000000000434,100,2009,140,5.0
000000000000435,450,2009,630,10.0
000000000000436,100,2009,140,2.0
000000000000437,75,2009,105,2.0
000000000000439,375,2009,525,5.0
000000000000440,200,2009,280,5.0
000000000000441,375,2009,525,7.0
000000000000442,250,2009,350,5.0
000000000000443,150,2009,210,5.0
000000000000445,150,2009,210,5.0
000000000000446,75,2009,105,5.0
000000000000447,150,2009,210,3.0
000000000000448,50,2005,70,2.0
000000000000449,100,2009,140,2.0
000000000000450,200,2018,240,1.0
000000000000451,75,2009,105,5.0
000000000000452,450,2009,630,10.0
000000000000453,300,2009,420,5.0
000000000000456,300,2009,420,1.0
000000000000458,650,2013,966,1.0
000000000000459,50,2009,70,5.0
000000000000460,50,2009,70,5.0
000000000000461,300,2009,420,5.0
000000000000462,400,2009,560,5.0
000000000000463,200,2009,280,5.0
000000000000464,400,2009,560,5.0
000000000000465,500,2009,700,7.0
000000000000466,100,2009,140,5.0
000000000000467,75,2009,105,5.0
000000000000468,75,2009,105,5.0
000000000000473,200,2009,280,5.0
000000000000474,250,2009,350,0.0
000000000000475,200,2009,280,2.0
000000000000478,40,2010,50,1.0
000000000000488,13887,2022,13300,4.0
000000000000491,16758,2022,12346,10.0
000000000000492,16107,2022,12878,9.0
000000000000495,32865,2022,25224,10.0
000000000000496,32865,2022,25224,10.0
000000000000497,21271,2021,22698,9.0
000000000000498,21271,2021,22698,9.0
000000000000499,21271,2021,22698,9.0
000000000000501,21274,2022,22831,6.0
000000000000502,23057,2022,17164,6.0
000000000000506,25100,2021,18691,9.0
000000000000512,24766,2022,28854,6.0
000000000000513,624,2022,1113,8.0
000000000000514,27132,2022,32549,3.0
000000000000524,10726,2022,10796,10.0
000000000000526,16674,2022,15710,6.0
000000000000531,3519,2022,8088,5.0
000000000000533,37520,2022,30107,6.0
000000000000535,37520,2022,30107,6.0
000000000000538,4682,2022,7665,6.0
000000000000539,11017,2022,14985,5.0
000000000000547,22738,2022,30626,17.0
000000000000548,22738,2022,30626,17.0
000000000000549,26943,2022,17626,13.0
000000000000550,24300,2021,24650,13.0
000000000000551,24300,2021,24650,13.0
000000000000552,24300,2021,24650,13.0
000000000000555,24300,2021,24650,13.0
000000000000557,49873,2022,67853,9.0
000000000000565,38644,2020,39923,11.0
000000000000566,29233,2020,28923,12.0
000000000000570,5000,2020,5500,5.0
000000000000572,7220,2022,27965,3.0
000000000000580,26192,2022,35593,7.0
000000000000582,33877,2022,32202,8.0
000000000000583,25375,2022,34484,8.0
000000000000584,59252,2022,66686,8.0
000000000000594,24754,2022,33638,7.0
000000000000598,30912,2022,25741,15.0
000000000000599,30704,2022,27086,7.0
000000000000600,30912,2022,25741,15.0
000000000000603,30704,2022,27086,7.0
000000000000605,30912,2022,25741,15.0
000000000000607,30704,2022,27086,7.0
000000000000610,30912,2022,25741,15.0
000000000000612,30704,2022,27086,7.0
000000000000614,31074,2022,27659,6.0
000000000000615,31074,2022,27659,6.0
000000000000617,28188,2022,27607,6.0
000000000000618,31512,2022,36029,13.0
000000000000619,25362,2022,30905,6.0
000000000000620,25362,2022,30905,6.0
000000000000621,25581,2022,32017,5.0
000000000000622,25581,2022,32017,5.0
000000000000624,2359,2021,2716,10.0
000000000000625,19394,2020,21180,12.0
000000000000626,19576,2020,20362,13.0
000000000000627,19394,2020,21180,12.0
000000000000628,19576,2020,20362,13.0
000000000000629,19394,2020,21180,12.0
000000000000630,19394,2020,21180,12.0
000000000000631,19576,2020,20362,13.0
000000000000632,19576,2020,20362,13.0
000000000000633,19394,2020,21180,12.0
000000000000634,19866,2022,14932,7.0
000000000000635,19576,2020,20362,13.0
000000000000636,19576,2020,20362,13.0
000000000000637,19866,2022,14932,7.0
000000000000639,27346,2022,17983,4.0
000000000000640,22655,2022,23101,5.0
000000000000642,24309,2022,22414,4.0
000000000000644,17720,2020,19198,14.0
000000000000645,24309,2022,22414,4.0
000000000000646,17720,2020,19198,14.0
000000000000647,24309,2022,22414,4.0
000000000000648,33192,2020,30905,11.0
000000000000649,14781,2020,11357,12.0
000000000000650,18411,2020,19548,11.0
000000000000652,12393,2020,11897,15.0
000000000000653,12654,2020,11660,11.0
000000000000654,12393,2020,11897,15.0
000000000000655,12654,2020,11660,11.0
000000000000656,10637,2022,13633,7.0
000000000000657,10957,2022,14055,7.0
000000000000673,19680,2022,22553,6.0
000000000000674,19680,2022,22553,6.0
000000000000675,19680,2022,22553,6.0
000000000000676,19680,2022,22553,6.0
000000000000684,14163,2020,20721,2.0
000000000000685,9499,2020,15443,3.0
000000000000686,10955,2022,17841,9.0
000000000000689,9171,2022,10982,7.0
000000000000690,8678,2022,8104,7.0
000000000000691,22127,2020,25464,4.0
000000000000695,34004,2022,21171,7.0
000000000000698,18024,2022,18221,5.0
000000000000701,7420,2022,8945,7.0
000000000000703,14840,2022,18518,7.0
000000000000704,7420,2022,9573,7.0
000000000000708,18052,2022,23558,5.0
000000000000712,24747,2022,33630,7.0
000000000000718,10812,2022,12444,8.0
